post_query,message_channel_name,message_channel_title,post_id,message_chat_id,message_user_id,post_published_at,post_description,post_validation_status,post_url,caption,message_views_count,post_shares_count,message_reactions,message_reply_to,message_entities,message_has_photo,message_has_video,message_has_document,post_author_username,message_edit_date,message_media_group_id
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1606,1274109799,-1001274109799,2026-03-08T17:50:02Z,:tv: **Veja Resenha Safras –Guerra no Oriente Médio e influências no agronegócio brasileiro** https://www.youtube.com/watch?v=i0HjKTGuH4U Você também pode acompanhar o podcast no soundcloud no link a seguir: https://soundcloud.com/safras-mercado/quais-os-impactos-iniciais-da,VALID,https://t.me/reginaldolopesmg/1606,,6,0,,,,TRUE,FALSE,FALSE,,2026-03-08T17:50:07Z,"1,42E+31"
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1605,1274109799,-1001274109799,2026-03-06T23:17:49Z,"‼️ ÚLTIMA HORA: O Irã atacou a infraestrutura petrolífera na Geórgia, país que fornece 30% do petróleo de Israel.",VALID,https://t.me/reginaldolopesmg/1605,,8,0,,,,FALSE,TRUE,TRUE,,2026-03-06T23:17:52Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1604,1274109799,-1001274109799,2026-03-05T14:30:10Z,"“Como resultado dos ataques terroristas em várias regiões do nosso país, 131 cidades foram afetadas até o momento e, lamentavelmente, 555 de nossos compatriotas foram mortos”, declarou a Cruz Vermelha Iraniana.  **Saiba mais: **https://jovempan.com.br/noticias/mundo/mortos-eua-ira-israel-guerra.html",VALID,https://t.me/reginaldolopesmg/1604,,11,0,,,"[<telethon.tl.types.MessageEntityMention object at 0x000001BAB4E0A810>, <telethon.tl.types.MessageEntityHashtag object at 0x000001BAB4E0A7E0>]",FALSE,TRUE,TRUE,,2026-03-05T14:30:13Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1603,1274109799,-1001274109799,2026-03-04T23:36:12Z,"“Não negociaremos com os EUA”, declarou Larijani nesta segunda-feira (02), em publicação nas redes sociais.  **Saiba mais:** https://jovempan.com.br/noticias/mundo/ira-afirma-que-nao-negociara-com-os-estados-unidos.html",VALID,https://t.me/reginaldolopesmg/1603,,7,0,,,,FALSE,TRUE,TRUE,,2026-03-04T23:36:15Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1602,1274109799,-1001274109799,2026-03-04T16:12:55Z,"“Não temos nenhuma confiança nos americanos e não temos nenhuma base para negociar com eles. Podemos continuar a guerra pelo tempo que desejarmos”, afirmou Mohammad Mokhbar à televisão estatal iraniana.  **Saiba mais: **https://jovempan.com.br/noticias/mundo/ira-descarta-negociacao-com-eua-e-esta-preparado-para-continuar-a-guerra.html",VALID,https://t.me/reginaldolopesmg/1602,,9,0,,,,TRUE,FALSE,FALSE,,2026-03-04T16:12:58Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1601,1274109799,-1001274109799,2026-03-03T23:30:14Z,"""Não vamos ser cúmplices"": Espanha diz não à guerra no Irã",VALID,https://t.me/reginaldolopesmg/1601,,9,0,,,[<telethon.tl.types.MessageEntityUrl object at 0x000001BAB4E0B5C0>],TRUE,FALSE,FALSE,,2026-03-03T23:30:17Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1600,1274109799,-1001274109799,2026-03-03T13:44:09Z,"“O Exército lançou a nona onda de ataques em Teerã. A Força Aérea iniciou agora uma onda de ataques em larga escala contra a infraestrutura do regime terrorista iraniano em Teerã”, afirmou o Exército em um comunicado.  **Saiba mais: **https://jovempan.com.br/noticias/mundo/exercito-de-israel-anuncia-ataque-em-larga-escala-em-teera.html",VALID,https://t.me/reginaldolopesmg/1600,,7,0,,,,FALSE,TRUE,TRUE,,2026-03-03T13:44:12Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1599,1274109799,-1001274109799,2026-03-03T13:18:52Z,"“Quanto mais você entende este mundo, mais você se destrói. É por isso que os tolos são felizes e os inteligentes vivem na solidão.” - Fiódor Dostoiévski",VALID,https://t.me/reginaldolopesmg/1599,,7,0,,,[<telethon.tl.types.MessageEntityHashtag object at 0x000001BAB4E0B470>],TRUE,FALSE,FALSE,,2026-03-03T13:18:55Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1598,1274109799,-1001274109799,2026-03-02T14:12:30Z,"“Quem é melhor, Pelé ou Messi?”. Após os atletas responderem que é Messi, Trump concluiu: “Eu acho que ele é. Mas Pelé era muito bom”.  **Saiba mais:** https://jovempan.com.br/noticias/mundo/trump-recebe-messi-na-casa-branca-e-questiona-quem-e-melhor-ele-ou-pele.html",VALID,https://t.me/reginaldolopesmg/1598,,11,0,,,,FALSE,TRUE,TRUE,,2026-03-02T14:13:12Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1597,1274109799,-1001274109799,2026-03-02T13:56:48Z,[Ataque de Trump contra o Irã aumenta risco de corrida nuclear](https://www.intercept.com.br/2026/03/02/trump-ataque-eua-ira-corrida-nuclear/)  Por @TheInterceptBr,VALID,https://t.me/reginaldolopesmg/1597,,10,0,,,[<telethon.tl.types.MessageEntityMention object at 0x000001BAB4E0BC20>],FALSE,TRUE,TRUE,,2026-03-02T13:56:51Z,
